Event,Type,Begin Date,End Date,Summary,CPI-AUnadjusted  Estimated Cost (in Billions),Deaths
Rockies Hail Storms and Central and Eastern Severe WeatherJune 2023,Severe Storm,"June 21, 2023","June 26, 2023","Severe hail storms across Colorado damaged many homes, vehicles and injured approximately 100 people at a large outdoor concert. This multi-day outbreak of severe weather also produced more than 60 tornadoes across portions of Wyoming, Colorado, Minnesota, Indiana, Kentucky and Arkansas that caused damage to homes, businesses, vehicles, agriculture and other infrastructure.",$5.5 CI,8
Central and Southern Severe WeatherJune 2023,Severe Storm,"June 15, 2023","June 18, 2023","Severe storms produce over one thousand reports of damaging weather across Oklahoma, Texas, Mississippi, Georgia, Florida, Arkansas and Ohio. Among these reports were over 70 preliminary tornadoes including an EF-3 tornado in Louin, Mississippi. This combination of high winds, hail and tornadoes caused damage to homes, businesses, vehicles, agriculture and other infrastructure. The damage was most focused in Oklahoma.",$3.9 CI,5
Southern Severe WeatherJune 2023,Severe Storm,"June 11, 2023","June 14, 2023","Numerous southern states including Texas, Louisiana, Mississippi, Alabama, Georgia, Tennessee, Arkansas, South Carolina and Florida were impacted by hail, tornadoes and high winds. These storms caused damage to many homes, vehicles and businesses across several days of severe storm activity.",$4.2 CI,0
Texas Hail StormsMay 2023,Severe Storm,"May 18, 2023","May 19, 2023","Texas hail storms impact numerous counties across north central Texas. Collin county in particular was impacted by golf ball to tennis ball sized hail causing damage to homes, vehicles and businesses.",$1.7 CI,0
Central and Eastern Tornadoes and Hail StormsMay 2023,Severe Storm,"May 10, 2023","May 12, 2023","Dozens of tornadoes and severe hail storms from the eastern Rockies and across several central states. The most costly severe hail impacts were focused in Colorado while numerous tornadoes also impacted western Kansas, central Oklahoma and eastern Nebraska. Texas and North Dakota were also impacted from combination of high winds, hail and isolated tornadoes with damage to homes, businesses, vehicles, farms and other infrastructure.",$3.6 CI,1
Central Severe WeatherMay 2023,Severe Storm,"May 6, 2023","May 8, 2023","Severe weather across numerous central states including Missouri, Illinois, Iowa, and Indiana. There was additional damage in Kentucky, Tennessee, South Carolina and Texas. Large hail, high winds and torandoes caused widespread impact to many homes, businesses, vehicles, farms and other infrastructure.",$2.2 CI,1
Southern Severe WeatherApril 2023,Severe Storm,"April 25, 2023","April 27, 2023","Southern severe weather across Texas, Georgia and Florida. Considerable hail and wind damage to many homes, businesses, vehicles and other infrastructure.",$1.4 CI,0
Central Severe WeatherApril 2023,Severe Storm,"April 19, 2023","April 20, 2023","Severe hail, scattered tornadoes and high winds caused damage across numerous central states. Central Oklahoma was impacted by a cluster of tornadoes. Texas, Missouri, Nebraska, Kansas, Iowa, Illinois and Wisconsin was impacted by hail and high wind damage from severe storms.",$3.1 CI,1
Central and Southern Severe WeatherApril 2023,Severe Storm,"April 15, 2023","April 15, 2023","Several central and southern states including Missouri, Arkansas, Illinois, Texas, Louisiana and the Florida Panhandle were impacted by hail, tornadoes and high winds. These storms caused damage to many homes, vehicles and businesses.",$1.4 CI,0
Central and Eastern Severe WeatherApril 2023,Severe Storm,"April 4, 2023","April 6, 2023","Severe storms produced large hail, high winds and more than 35 tornadoes across many central and southern states. The states most affected were Illinois, Kentucky, Iowa, Indiana, Ohio, Missouri and Michigan where there was considerable damage to homes, businesses, agriculture, vehicles and other infrastructure.",$3.0 CI,5
Central Tornado Outbreak and Eastern Severe WeatherMarch 2023,Severe Storm,"March 31, 2023","April 1, 2023","A historic tornado outbreak across numerous central states caused widespread damage from at least 145 tornadoes. States most impacted were Illinois, Indiana, Ohio, Missouri, Iowa, Arkansas, Tennessee and Pennsylvania where there was severe damage to homes, businesses, vehicles, agriculture and other infrastructure.",$5.9 CI,33
Southern and Eastern Severe WeatherApril 2023,Severe Storm,"March 24, 2023","March 26, 2023","Southern and eastern severe storms including more than 40 tornadoes caused damage across Mississippi, Alabama, Georgia, Tennessee to many homes, businesses, vehicles and other infrastructure. Additional high wind damage occurred in parts of Ohio, West Virginia and Pennsylvania.",$3.0 CI,23
Southern and Eastern Severe WeatherMarch 2023,Severe Storm,"March 2, 2023","March 3, 2023","Severe storms impact numerous southern and eastern states including Texas, Alabama, Mississippi, Tennessee, Kentucky, Indiana and Ohio. Impacts from high wind and tornadoes cause widespread damage to homes, vehicles, businesses, government buildings and infrastructure.",$6.2 CI,13
Western/Central Drought and Heat Wave2022,Drought,"January 1, 2022","December 31, 2022","Severe drought conditions impacted many Western and Central states. Large reservoirs across the West including Lake Mead, Lake Powell, Lake Oroville, and Shasta Lake, among others continue to be depleted. Lake Mead, the Nation's largest reservoir, is nearing dead pool status and is at the lowest level since it was filled in the 1930s. The Great Salt Lake is also near record-low levels. The impacts of the drought affected crop production across may states and sharply increased feeding costs for livestock. Many segments of the Mississippi River also experienced low water levels causing delays and reductions in river commerce. Extreme heat also developed for many days across Western and Central states. These excess heat conditions caused more than one hundred heat-related fatalities focused across Arizona, Nevada, California, Oregon and Texas. The 2022 drought was one of the costlier droughts on record, with a diverse array of direct impacts across different regions and industries.",$23.5 CI,136
Central and Eastern Winter Storm and Cold WaveDecember 2022,Winter Storm,"December 21, 2022","December 26, 2022","Historic winter storm and powerful arctic front caused significant impact across much of the nation, bringing heavy rains, snow, ice and high winds that sent temperatures plummeting. More than 200 million people were under a winter weather advisory or warning and more than a million customers, from Texas to Maine, were left without power. Buffalo, New York was paralyzed by near hurricane force winds and continuous snow squalls, which contributed to dozens of fatalities in the region. Additional impacts were widespread frozen water pipes that led to extensive water damage in many homes, businesses and to other critical infrastructure.",$9.0 CI,87
Central Severe WeatherJune 2022,Severe Storm,"June 7, 2022","June 8, 2022","Severe weather produced damaging hail, high wind and damage from more than two dozen tornadoes across numerous states including Colorado, Nebraska, Kansas, Missouri, Oklahoma, Texas, Iowa and Ohio. Hail and high wind damage was severe across much of Nebraska causing widespread damage to homes, businesses, vehicles, farms and agriculture and other infrastructure.",$2.0 CI,0
North Central Hail StormsMay 2022,Severe Storm,"May 19, 2022","May 19, 2022","Severe hail storms with numerous reports of golf-balled sized hail causing damage across southeastern Minnesota and western Wisconsin. These hail storms were south of the hail storms that damaged many homes, vehicles and businesses just 10 days earlier on May 9.",$2.6 CI,0
Southern and Central Severe WeatherMay 2022,Severe Storm,"May 1, 2022","May 3, 2022","Severe weather producing high winds and large, damaging hail impacted several Southern and Central states including Texas, Oklahoma, Ohio and Pennsylvania. Many homes, businesses, vehicles and agriculture assets were damaged.",$1.2 CI,1
Southern Severe WeatherApril 2022,Severe Storm,"April 11, 2022","April 13, 2022","Severe weather including hundreds of damaging wind reports and dozens of tornadoes occurred across Arkansas, Louisiana, Mississippi, Alabama, Texas, Tennessee and Kentucky. On April 11, tornadoes and damaging hail was focused across central Arkansas causing damage to homes, vehicles, outbuildings and farms and vegetation. April 12 and 13 produced widespread high wind reports and dozens of tornadoes across central Mississippi, northeast Arkansas and west-central Kentucky. These tornadoes produced damage to homes, businesses, farms, outbuildings and other infrastructure. There was also considerable hail damage across Wisconsin and Minnesota.",$2.9 CI,1
Southeast Tornado OutbreakApril 2022,Severe Storm,"April 4, 2022","April 6, 2022","A tornado outbreak on April 4-6 with a combined 100 preliminary tornadoes reported. The tornadoes occurred across Texas, Louisiana, Mississippi, Alabama, Georgia, Florida and South Carolina. Many of these tornadoes were clustered along the southern regions of Mississippi, Alabama, Georgia and South Carolina. During this three-day period many of these tornadoes were rated as either EF-1 or EF-0, but there were also nine EF-2, three EF-3 and one EF-4 tornado. This EF-4 occurred in Pembroke, Georgia on April 5th with winds of 185 mph that destroyed several neighborhoods. Many of the other tornadoes across the South caused considerable damage to homes, businesses, vehicles, and other infrastructure.",$1.5 CI,3
Southern Tornado OutbreakMarch 2022,Severe Storm,"March 30, 2022","March 30, 2022","An outbreak of 83 tornadoes was focused across the Gulf Coast states including Louisiana, Mississippi, Alabama, and Florida.",$1.4 CI,2
Texas Hail StormsFebruary 2022,Severe Storm,"February 21, 2022","February 22, 2022","Overnight hail storms impacted numerous counties across north central Texas. In particular, the counties of Denton, Collin and Wise were impacted by ping pong to golf ball sized hail causing damage to homes, vehicles and businesses.",$1.1 CI,0
"Southeast, Central Tornado OutbreakDecember 2021",Severe Storm,"December 10, 2021","December 10, 2021","Historic December tornado outbreak across several southeast and central states caused devastating damage across many towns and cities. This outbreak produced two long-tracked EF-4 tornadoes across Arkansas, Missouri, Tennessee and Kentucky. The longest tornado track was nearly 166 miles across Kentucky and a small portion of Tennessee. This was the longest-tracked tornado on record in Kentucky and was a U.S. record tornado track length for the month of December. There were over 800 total miles of tornado path length on December 10. The peak intensity from this outbreak was EF-4 rated wind speeds of 190 mph in Mayfield, Kentucky. This day was also the deadliest December tornado outbreak recorded in the United States surpassing the Vicksburg, Mississippi tornado of December 5, 1953, which caused 38 fatalities.",$4.5 CI,93
Hurricane NicholasSeptember 2021,Tropical Cyclone,"September 14, 2021","September 18, 2021","Category 1 Hurricane Nicholas made landfall near Sargent Beach, Texas on September 14 and moved slowly toward Louisiana over the next several days. This slow progression helped to produce flooding rainfall across regions of the Gulf Coast that were already saturated from Hurricane Ida.",$1.2 CI,0
North Central Severe WeatherAugust 2021,Severe Storm,"August 10, 2021","August 13, 2021","Widespread high wind impacts across numerous North Central states including Illinois, Michigan, Wisconsin, Indiana, Ohio and Missouri. This multi-day event caused damage to infrastructure, homes, vehicles and businesses.",$1.5 CI,2
Central Severe StormsJuly 2021,Severe Storm,"July 8, 2021","July 11, 2021","Severe storms caused considerable hail damage across numerous Central states including Missouri, Nebraska, Iowa, South Dakota, North Dakota, New Mexico and Texas. There was also widespread high wind damage to homes, vehicles and businesses in many other surrounding states.",$1.3 CI,0
Central Severe StormsJune 2021,Severe Storm,"June 24, 2021","June 26, 2021","A combination of thunderstorm high winds, hail and tornadoes affected numerous Central states. The states most affected included Michigan, Illinois, Indiana, Ohio, Missouri, Kansas and Texas with damage to homes, businesses, vehicles and agriculture.",$1.5 CI,0
Louisiana FloodingMay 2021,Flooding,"May 17, 2021","May 18, 2021","Torrential rainfall from thunderstorms across Louisiana and coastal Texas caused widespread flooding and resulted in hundreds of water rescues. Baton Rouge and Lake Charles experienced flood damage to thousands of homes, vehicles and businesses, as more than 12 inches of rain fell. Lake Charles also continues to recover from the widespread damage caused by Hurricanes Laura and Delta less than 9 months before this flood event.",$1.6 CI,5
Southern Tornadoes and Southeast Severe WeatherMay 2021,Severe Storm,"May 2, 2021","May 4, 2021","Tornadoes and severe storms with widespread high wind and large hail cause damage across many Southern and Southeastern states including Mississippi, Texas, Arkansas, Alabama, Georgia, South Carolina, North Carolina, and Tennessee. There were over 111 confirmed tornadoes largely clustered in central Mississippi and surrounding states.",$1.5 CI,4
Texas and Oklahoma Severe WeatherApril 2021,Severe Storm,"April 27, 2021","April 28, 2021","Severe weather including tornadoes, high wind, localized flooding and large hail cause widespread impacts across central Texas and Oklahoma. There was considerable damage across Texas and Oklahoma to many homes, vehicles and businesses particularly from hail storms. Several of the more impacted areas include west of San Antonio, north of Fort Worth, and southwest of San Marcos.",$3.7 CI,0
Texas Hail StormsApril 2021,Severe Storm,"April 12, 2021","April 15, 2021","A series of hail storms impacted central Texas causing damage to many homes, vehicles and businesses. There was considerable hail damage northeast of Austin, west of Georgetown and southwest of The Woodlands.",$1.8 CI,0
Eastern Severe WeatherMarch 2021,Severe Storm,"March 27, 2021","March 28, 2021","Severe weather producing hail, high wind and more than two dozen tornadoes impacted numerous states including Arkansas, Alabama, Georgia, Mississippi, South Carolina, North Carolina and Virginia. Tennessee was also affected with significant flooding in Nashville and surrounding areas that damaged businesses, homes and vehicles. There were also many high wind damage reports across Pennsylvania, Maryland and New Jersey.",$1.6 CI,8
Southeast Tornadoes and Severe WeatherMarch 2021,Severe Storm,"March 24, 2021","March 25, 2021","At least 41 tornadoes impact several states including Kentucky, Tennessee, Mississippi, Alabama and Georgia. These included one EF-4, four EF-3s, ten EF-2s and approximately two-dozen EF-1 or EF-0 tornadoes. The strongest of these tornadoes were focused across central Alabama and western Georgia with tracks across the entire width of Alabama. There was widespread damage to homes, businesses, vehicles and infrastructure.",$2.0 CI,6
"Northwest, Central, Eastern Winter Storm and Cold WaveFebruary 2021",Winter Storm,"February 10, 2021","February 19, 2021","Historic cold wave and winter storm impacts many northwest, central and eastern states. Temperature departures exceeding 40.0 degrees F (22.2 degrees C) below normal occurred from Nebraska southward to Texas. The prolonged arctic air caused widespread power outages in Texas, as well as other southern states, with multiple days of sustained below-freezing temperatures. At the peak of the outage, nearly 10 million people were without power. Additional impacts were frozen water pipes, which burst upon thawing causing water damage to buildings. These extreme conditions also caused or contributed to the direct and indirect deaths of more than 210 people in Texas alone. This count does not include excess mortality that may be hundreds of additional deaths. There were also snow and ice impacts across numerous states including Oklahoma, Arkansas, Missouri, Illinois, Kentucky, Tennessee, Louisiana, Mississippi, Colorado, Oregon and Washington. This is now the costliest U.S. winter storm event on record, more than doubling the inflation-adjusted cost of the 'Storm of the Century' that occurred in March 1993.",$27.2 CI,262
Western/Central Drought and Heat WaveSummer-Fall 2020,Drought,"June 1, 2020","December 30, 2020","Widespread, continuous drought and record heat affected more than a dozen Western and Central states for much of the summer, fall and into the winter months. Persistent above-average temperatures and precipitation deficits caused D3 (extreme) and D4 (exceptional) drought coverage in December that was the largest extent since August 2012. Death Valley recorded a temperature of 130 degrees F - the highest measured temperature globally in decades - while Los Angeles county recorded a record high of 121 degrees F. There were considerable crop and livestock impacts across the West and Central states from both the persistent heat and increasingly dry conditions. The combined drought and heat also assisted in drying out vegetation across the West that contributed to the Western wildfire potential and severity.",$5.4 CI,45
Hurricane DeltaOctober 2020,Tropical Cyclone,"October 9, 2020","October 11, 2020","Hurricane Delta was a category 2 hurricane that made landfall near Creole, Louisiana with winds of 100 mph on October 9. This was nearly the same location in which category 4 Hurricane Laura made landfall 6 weeks prior. Heavy rainfall, high winds, storm surge, and nearly one dozen EF-0 or EF-1 tornadoes caused damage across several states including Louisiana, eastern Texas, Mississippi and Georgia.",$3.5 CI,5
Hurricane LauraAugust 2020,Tropical Cyclone,"August 27, 2020","August 28, 2020","Hurricane Laura was a powerful category 4 that made landfall at Cameron Parish, in southwestern Louisiana on August 27. Winds up to 150 mph and storm surge in excess of 15 feet caused heavy damage along the coast and inland to the city of Lake Charles. Many broken water systems and a severely damaged electrical grid in southern Louisiana will slow the recovery process. Laura was the strongest hurricane (by maximum sustained windspeed at landfall) to hit Louisiana since the 1856 Last Island hurricane. Laura also had highest landfall wind speed to impact the U.S. since Hurricane Michael in 2018. There were additional impacts to surrounding states including Texas, Mississippi and Arkansas.",$28.1 CI,42
Hurricane HannaJuly 2020,Tropical Cyclone,"July 25, 2020","July 26, 2020","Category 1 Hurricane Hanna made landfall at Padre Island, Texas on July 25 with sustained winds of 90 miles per hour. The impacts from wind, wave action and flooding were most notable in damaging coastal infrastructure and to the agriculture sector. The crop damage was most focused across the Rio Grande Valley in southern Texas.",$1.3 CI,0
South Texas Hail StormsMay 2020,Severe Storm,"May 27, 2020","May 27, 2020","South Texas hail storms cause widespread impact to several cities with golf-ball sized hail damaging many homes, vehicles and businesses. The highest concentration of hail damage occurred across the northern portion of the San Antonio metroplex. There was also significant damage east of San Marcos, southeast of Waco and to the west and south of Bryan and College Station.",$1.7 CI,0
"South, Central and Eastern Severe WeatherMay 2020",Severe Storm,"May 20, 2020","May 23, 2020","A combination of thunderstorm high winds, hail and tornadoes affected numerous Southern, Central and Eastern states. The states most affected included Texas, Illinois and North Carolina with damage to homes, businesses and vehicles. Oklahoma, Arkansas, Indiana, Tennessee, Alabama, Georgia, Florida and South Carolina.",$1.9 CI,2
"Central, Southern and Eastern Severe WeatherApril 2020",Severe Storm,"April 27, 2020","April 30, 2020","Severe weather across many Central, Southern and Eastern states produced primarily large hail and high winds that caused widespread damage to many homes, vehicles and businesses. The states affected included Oklahoma, Texas, Missouri, Arkansas, Louisiana, Virginia, Pennsylvania, Maryland, Delaware and New Jersey.",$1.3 CI,1
Southern Severe WeatherApril 2020,Severe Storm,"April 21, 2020","April 23, 2020","Severe weather caused damage across many Southern states. The states most affected from a combination of high winds, hail and tornadoes included Texas, Oklahoma, Louisiana, Mississippi, Alabama, Georgia, Florida and Virginia. The states with the highest damage totals for the event were Oklahoma, Louisiana and Texas.",$1.7 CI,3
Southeast and Eastern Tornado OutbreakApril 2020,Severe Storm,"April 12, 2020","April 13, 2020","Outbreak of at least 140 tornadoes from Texas to Maryland including 3 EF4s, 12 EF3s, 20 EF2s, 77 EF1s and 28 EF0s. Damage was extensive and highly destructive to many homes, vehicles and businesses across more than a dozen Southeast and Eastern states.",$4.2 CI,35
Midwest and Ohio Valley Severe WeatherMarch 2020,Severe Storm,"March 27, 2020","March 28, 2020","Severe weather caused damage across many Midwest and Ohio Valley states including Missouri, Oklahoma, Texas, Illinois, Indiana, Ohio, Arkansas, Kentucky, Tennessee, West Virginia and Pennsylvania. The states most affected from a combination of high winds and hail were Missouri, Ohio and Arkansas. There were also two dozen tornadoes across Iowa, Illinois, Indiana and Arkansas causing additional damage.",$3.1 CI,0
